;itemid;url;experiment;options
11;2287462;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_A_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
12;2287552;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_W_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
13;2287477;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_F_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
14;2287518;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_W.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
15;2287497;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_A.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
16;2287524;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_W.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
17;2287486;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_A_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
18;2287539;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_E.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
19;2287458;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_s_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
20;2287491;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_T_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
21;2287565;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_E_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
22;2287494;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_s_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
23;2287581;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_A_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
24;2287566;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_E_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
25;2287554;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_s_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
26;2287504;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_F.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
27;2287480;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_E_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
28;2287568;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_W_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
29;2287541;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_F.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
30;2287470;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_F_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
31;2287531;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_T.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
32;2287495;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_W_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
33;2287455;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_E_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
34;2287447;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_A_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
35;2287576;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_s_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
36;2287555;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_E_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
37;2287517;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_F.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
38;2287575;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_W_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
39;2287463;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_E_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
40;2287500;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_T.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
41;2287453;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_T_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
42;2287589;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/applause.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
43;2287478;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_T_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
44;2287471;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_T_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
45;2287527;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_E.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
46;2287464;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_F_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
47;2287465;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_A_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
48;2287475;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_F_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
49;2287460;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_W_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
50;2287560;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_A_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
51;2287503;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_T.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
52;2287482;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_W_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
53;2287479;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_E_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
54;2287557;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_T_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
55;2287537;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_s.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
56;2287535;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_A.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
57;2287450;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_E_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
58;2287515;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_E.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
59;2287558;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_T_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
60;2287570;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_W_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
61;2287588;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_A_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
62;2287564;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_T_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
63;2287492;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
64;2287577;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_E_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
65;2287446;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_s_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
66;2287543;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_F.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
67;2287449;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_T_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
68;2287511;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_A.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
69;2287448;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_F_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
70;2287519;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_s.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
71;2287586;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_F_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
72;2287459;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_E_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
73;2287507;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_A.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
74;2287493;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_E_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
75;2287496;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_A_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
76;2287551;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_s_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
77;2287474;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_A_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
78;2287567;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
79;2287512;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_s.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
80;2287534;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_s.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
81;2287585;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_A_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
82;2287445;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_s_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
83;2287545;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_E_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
84;2287488;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_E_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
85;2287529;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_F.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
86;2287513;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_T.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
87;2287556;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_F_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
88;2287489;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_s_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
89;2287553;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_F_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
90;2287573;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_s_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
91;2287467;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_s_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
92;2287549;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_W_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
93;2287528;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_T.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
94;2287548;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_W_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
95;2287579;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_A_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
96;2287578;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_F_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
97;2287530;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
98;2287569;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_A_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
99;2287546;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_W_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
100;2287499;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_s.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
101;2287533;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_A.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
102;2287547;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_T_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
103;2287508;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_T.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
104;2287452;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_A_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
105;2287454;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_A_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
106;2287509;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_E.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
107;2287498;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_E.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
108;2287580;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_A_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
109;2287532;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_E.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
110;2287469;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_F_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
111;2287561;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_T_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
112;2287451;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_A_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
113;2287472;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_W_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
114;2287520;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_T.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
115;2287525;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_s.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
