;itemid;url;experiment;options
27;2278389;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_F_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
28;2278415;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_A_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
29;2278317;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_T_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
30;2278346;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_T.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
31;2278360;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_s.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
32;2278408;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_A_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
33;2278379;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_s_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
34;2278382;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_s_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
35;2278351;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_s.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
36;2278394;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
37;2278356;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
38;2278345;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_s.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
39;2278371;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_E_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
40;2278349;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_F.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
41;2278410;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_F_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
42;2278385;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_T_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
43;2278363;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_s.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
44;2278312;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_A_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
45;2278314;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_E_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
46;2278364;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_W.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
47;2278292;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_W_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
48;2278307;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_F_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
49;2278357;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_T.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
50;2278289;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_E_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
51;2278318;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
52;2278406;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_F_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
53;2278334;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_T.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
54;2278328;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_F.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
55;2278299;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_F_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
56;2278338;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_s.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
57;2278301;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_F_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
58;2278331;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_s.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
59;2278285;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_E_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
60;2278343;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_F.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
61;2278417;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_s_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
62;2278302;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_F_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
63;2278404;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_s_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
64;2278339;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_T.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
65;2278298;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_W_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
66;2278297;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_T_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
67;2278355;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_F.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
68;2278413;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_E_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
69;2278344;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_W.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
70;2278352;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_A.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
71;2278308;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_W_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
72;2278290;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_F_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
73;2278388;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_T_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
74;2278295;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_F_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
75;2278321;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_W_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
76;2278409;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_A_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
77;2278313;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_s_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
78;2286153;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/applause.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
79;2278348;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_E.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
80;2278282;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_T_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
81;2278327;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_A.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
82;2278403;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_W_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
83;2278391;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_T_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
84;2278366;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_W.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
85;2278330;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_F.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
86;2278336;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_W.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
87;2278419;;Wortwörtlich Emotion (DE);Die Stimme der Sprecher war...
88;2278397;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_W_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
89;2278399;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_E_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
90;2278319;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_E_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
91;2278296;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_F_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
92;2278416;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_F_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
93;2278278;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_A_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
94;2278309;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_W_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
95;2278341;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_E.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
96;2278329;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_T.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
97;2278380;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_s_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
98;2278288;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_A_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
99;2278372;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_T_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
100;2278291;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_A_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
101;2278315;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_s_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
102;2278405;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_E_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
103;2278384;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_T_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
104;2278373;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_W_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
105;2278279;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_T_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
106;2278284;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_s_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
107;2278400;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_T_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
108;2278390;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_T_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
109;2278294;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_s_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
110;2278375;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_F_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
111;2278335;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_E.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
112;2278398;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_F_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
113;2278377;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_W_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
114;2278276;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_E_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
115;2278381;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_A_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
116;2278414;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_s_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
117;2278305;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_E_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
118;2278353;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_E.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
119;2278411;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_T_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
120;2278283;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_T_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
121;2278326;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_T.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
122;2278293;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_s_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
123;2278304;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_T_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
124;2278281;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_E_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
125;2278324;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_E.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
